,uid,years,minutes,sqrm,distance,renovate,express,price,predict
151,13101-760,49,6,30,2.9601475510000004,1,0,20000000,20306884.270476222
152,13101-808,15,5,20,1.998921954,0,1,24000000,29234830.1388503
153,13101-809,15,5,20,1.998921954,0,1,26000000,29234830.1388503
154,13101-810,8,3,35,1.998921954,0,1,32000000,46258340.42904005
155,13101-811,15,5,20,1.998921954,0,1,22000000,29234830.1388503
156,13101-813,9,6,60,1.998921954,0,1,74000000,63594152.28955324
157,13101-1019,6,3,55,2.983801459,0,0,82000000,62004717.96389558
158,13101-1021,34,6,25,2.983801459,0,0,14000000,21144384.71204117
159,13101-1022,23,5,55,2.983801459,1,0,70000000,54756972.70316841
160,13101-1023,5,5,70,2.983801459,0,0,130000000,73127171.33833756
161,13101-1024,23,5,55,2.983801459,1,0,70000000,54756972.70316841
162,13101-1025,5,3,45,2.983801459,1,0,95000000,57772708.449645236
163,13101-1029,5,5,70,2.983801459,0,0,130000000,73127171.33833756
164,13101-1030,11,3,45,2.983801459,0,0,58000000,51374987.316483214
165,13101-1031,23,5,55,2.983801459,0,0,61000000,51567732.950810984
166,13101-1032,23,5,45,2.983801459,0,0,53000000,43611736.78740245
167,13101-1034,5,3,70,2.983801459,0,0,150000000,74473459.10580915
168,13101-1037,23,5,40,2.983801459,0,0,53000000,39633738.70569818
169,13101-1038,23,5,55,2.983801459,0,0,69000000,51567732.950810984
170,13101-1041,5,5,75,2.983801459,0,0,150000000,77105169.42004183
171,13101-1042,5,5,70,2.983801459,0,0,110000000,73127171.33833756
172,13101-1048,6,2,65,2.9601475510000004,0,0,110000000,70650323.18742475
173,13101-1049,6,2,85,2.9601475510000004,1,0,130000000,89751555.26659924
174,13101-1050,6,2,85,2.9601475510000004,0,0,140000000,86562315.51424181
175,13101-1052,5,5,60,2.9601475510000004,0,0,110000000,65187640.35131385
176,13101-1053,6,2,70,2.9601475510000004,0,0,110000000,74628321.26912901
177,13101-1055,6,2,65,2.9601475510000004,1,0,110000000,73839562.93978217
178,13101-1057,6,2,85,2.9601475510000004,0,0,150000000,86562315.51424181
179,13101-1058,16,4,90,2.9601475510000004,0,0,130000000,83846556.86046684
180,13101-1059,5,5,60,2.9601475510000004,0,0,110000000,65187640.35131385
181,13101-1061,5,2,60,2.9601475510000004,0,0,110000000,67207072.00252125
182,13101-1070,11,4,110,3.246960267,0,1,150000000,102782183.91301253
183,13101-1073,11,4,55,3.246960267,0,1,87000000,59024205.01426558
184,13101-1074,41,4,45,3.246960267,0,1,40000000,35025801.9468341
185,13101-1075,35,5,85,3.246960267,0,1,110000000,69385124.09753704
186,13101-1076,2,5,55,3.246960267,0,1,130000000,63163783.20173667
187,13101-1083,18,4,75,3.246960267,0,1,110000000,71192969.06347731
188,13102-1127,15,2,35,0.0,0,1,42000000,44579679.49687171
189,13102-1129,15,2,35,0.0,0,1,49000000,44579679.49687171
190,13104-70,7,8,55,2.9601475510000004,0,0,61000000,58120716.82480066
191,13104-71,34,11,15,2.9601475510000004,0,0,12000000,9839134.306338483
192,13104-72,17,7,115,2.9601475510000004,0,0,140000000,101182368.72098002
193,13104-73,16,3,20,2.9601475510000004,0,0,23000000,28827727.600342885
194,13104-74,16,3,20,2.9601475510000004,0,0,22000000,28827727.600342885
195,13104-75,32,8,100,2.9601475510000004,1,0,94000000,83743266.8924774
196,13104-90,14,2,50,2.9601475510000004,0,0,60000000,54438353.76790582
197,13104-93,7,2,60,2.9601475510000004,0,0,75000000,66137578.20891971
198,13104-98,19,5,70,2.9601475510000004,0,0,62000000,65657179.95951168
199,13104-99,7,2,40,2.9601475510000004,0,0,45000000,50225585.88210264
200,13104-101,19,10,65,2.9601475510000004,0,0,59000000,58313462.45912843
201,13104-102,19,6,55,2.9601475510000004,0,0,55000000,53050041.83066308
202,13104-103,19,10,65,2.9601475510000004,0,0,60000000,58313462.45912843
203,13104-104,8,5,55,2.9601475510000004,0,0,69000000,59605401.579207286
204,13104-105,7,2,60,2.9601475510000004,0,0,72000000,66137578.20891971
205,13104-138,2,3,60,2.9601475510000004,0,0,80000000,68138168.80918774
206,13104-139,19,7,20,2.9601475510000004,0,0,26000000,24530911.374997403
207,13104-140,6,7,25,2.9601475510000004,0,0,29000000,35460619.11511162
208,13104-141,6,7,25,2.9601475510000004,0,0,29000000,35460619.11511162
209,13104-142,16,5,40,2.9601475510000004,0,0,50000000,43393432.15968837
210,13104-143,15,5,40,2.9601475510000004,0,0,37000000,43928179.056489125
211,13104-144,6,7,25,2.9601475510000004,0,0,28000000,35460619.11511162
212,13104-145,4,6,30,2.9601475510000004,0,0,35000000,41181254.87415321
213,13104-146,19,7,20,2.9601475510000004,0,0,16000000,24530911.374997403
214,13104-147,19,7,20,2.9601475510000004,0,0,25000000,24530911.374997403
215,13104-148,6,7,25,2.9601475510000004,0,0,27000000,35460619.11511162
216,13104-149,14,6,50,3.246960267,0,1,41000000,52095678.47468743
217,13104-150,14,6,55,3.246960267,0,1,64000000,56073676.5563917
218,13104-246,16,4,35,6.580371345,0,0,35000000,37568587.46709322
219,13104-249,10,6,45,6.580371345,0,0,48000000,47386777.24383476
220,13104-255,29,9,15,6.580371345,0,0,13000000,11339166.063187227
221,13104-256,16,4,35,6.580371345,0,0,33000000,37568587.46709322
222,13104-259,16,4,45,6.580371345,0,0,43000000,45524583.63050176
223,13104-264,16,4,45,6.580371345,0,0,36000000,45524583.63050176
224,13104-267,20,7,30,6.580371345,0,0,31000000,29432170.146978505
225,13104-268,10,6,45,6.580371345,0,0,35000000,47386777.24383476
226,13104-269,20,7,50,6.580371345,0,0,38000000,45344162.47379558
227,13104-275,15,10,20,6.580371345,1,0,16000000,25319716.568723835
228,13104-361,18,1,35,2.983801459,0,0,33000000,41022050.642940916
229,13104-362,35,3,25,2.983801459,0,0,18000000,22629069.46644779
230,13104-378,38,9,10,6.051806582,0,1,11000000,3465919.7644438595
231,13104-383,38,9,15,6.051806582,0,1,9500000,7443917.84614813
232,13104-554,18,8,75,6.580371345,0,0,61000000,65630502.792182654
233,13104-555,18,3,20,6.580371345,0,0,21000000,25238243.312114682
234,13104-556,41,4,25,6.580371345,0,0,11000000,16243918.883665565
235,13104-557,11,4,45,6.580371345,0,0,45000000,48198318.11450558
236,13104-558,7,3,70,6.580371345,0,0,70000000,70900439.99396577
237,13104-559,21,4,65,6.580371345,0,0,63000000,58762841.47331501
238,13104-560,12,3,20,6.580371345,0,0,23000000,28446724.692919273
239,13104-562,47,6,25,6.580371345,1,0,18000000,14878389.487746809
240,13104-563,7,3,25,6.580371345,0,0,30000000,35098457.25862736
241,13104-565,15,7,40,6.580371345,0,0,27000000,40061900.794390865
242,13104-567,41,8,50,6.580371345,1,0,3300000,36630573.509601146
243,13104-568,30,9,20,6.580371345,0,0,13000000,14782417.248090727
244,13104-569,33,10,30,6.580371345,1,0,25000000,23650268.589718606
245,13104-570,11,4,35,6.580371345,0,0,35000000,40242321.95109704
246,13104-571,7,6,25,6.580371345,0,0,33000000,33079025.607419975
247,13104-572,11,5,20,6.580371345,0,0,25000000,27635183.822248444
248,13104-573,11,7,20,6.580371345,1,0,21000000,29478135.80713428
249,13104-574,11,6,15,6.580371345,0,0,25000000,22984041.85680838
250,13104-575,46,8,30,6.580371345,1,0,25000000,18044846.698780246
251,13104-576,9,7,25,6.580371345,0,0,27000000,31336387.930082653
252,13104-579,15,10,20,6.580371345,0,0,21000000,22130476.816366404
253,13104-580,12,7,20,6.580371345,0,0,25000000,25754149.157976087
254,13104-581,6,9,25,6.580371345,0,0,28000000,31594340.853013355
255,13104-582,33,10,20,6.580371345,0,0,12000000,12505032.673952641
256,13104-589,15,3,55,6.580371345,0,0,47000000,54688470.57444686
257,13104-590,46,8,50,6.580371345,1,0,33000000,33956839.02559732
258,13104-591,41,4,55,6.580371345,1,0,18000000,43301147.1262486
259,13104-592,21,5,65,6.580371345,0,0,50000000,58089697.58957921
260,13104-593,22,4,15,6.580371345,0,0,20000000,18448113.759471558
261,13104-594,16,9,70,6.580371345,1,0,62000000,65238094.37270155
262,13104-595,21,7,15,6.580371345,0,0,18000000,16963429.005064934
263,13104-596,13,4,20,6.580371345,0,0,26000000,27238833.91238271
264,13104-597,13,4,25,6.580371345,0,0,29000000,31216831.99408698
265,13104-598,21,4,65,6.580371345,0,0,49000000,58762841.47331501
266,13104-599,18,8,105,6.580371345,0,0,87000000,89498491.28240827
267,13104-603,12,5,20,6.580371345,0,0,26000000,27100436.92544768
268,13104-604,18,3,20,6.580371345,0,0,19000000,25238243.312114682
269,13104-605,7,6,25,6.580371345,0,0,29000000,33079025.607419975
270,13104-606,18,9,15,6.580371345,0,0,17000000,17221381.927995637
271,13104-607,12,6,20,6.580371345,0,0,27000000,26427293.041711885
272,13104-609,18,8,65,6.580371345,1,0,61000000,60863746.38113155
273,13104-610,47,6,30,6.580371345,0,0,8000000,15667147.81709365
274,13104-611,11,4,115,6.580371345,0,0,100000000,103890291.25836533
275,13104-612,18,3,20,6.580371345,0,0,23000000,25238243.312114682
276,13104-613,6,9,30,6.580371345,0,0,32000000,35572338.934717625
277,13104-618,34,8,20,6.580371345,0,0,17000000,13316573.544623466
278,13104-619,41,8,45,6.580371345,1,0,30000000,32652575.42789688
279,13104-620,18,8,75,6.580371345,1,0,67000000,68819742.54454008
280,13104-621,42,9,30,6.580371345,0,0,13000000,16321450.64989009
281,13104-622,6,8,40,6.580371345,0,0,41000000,44201478.98186196
282,13104-623,6,8,25,6.580371345,0,0,31000000,32267484.73674915
283,13104-624,12,4,20,6.580371345,0,0,20000000,27773580.809183475
284,13104-625,13,4,20,6.580371345,0,0,25000000,27238833.91238271
285,13104-626,12,3,20,6.580371345,0,0,27000000,28446724.692919273
286,13104-628,46,8,50,6.580371345,0,0,28000000,30767599.273239892
287,13104-629,47,6,30,6.580371345,0,0,19000000,15667147.81709365
288,13104-630,13,5,20,6.580371345,0,0,25000000,26565690.028646916
289,13104-631,18,8,70,6.580371345,1,0,62000000,64841744.46283582
290,13104-632,12,4,20,6.580371345,0,0,26000000,27773580.809183475
291,13104-633,11,8,20,6.580371345,0,0,19000000,25615752.171041057
292,13104-636,19,5,55,6.580371345,0,0,44000000,51203195.219772205
293,13104-637,13,5,20,6.580371345,0,0,25000000,26565690.028646916
294,13104-639,15,10,40,6.580371345,0,0,25000000,38042469.14318348
295,13104-640,47,6,25,6.580371345,0,0,12000000,11689149.735389382
296,13104-641,41,8,45,6.580371345,1,0,29000000,32652575.42789688
297,13104-643,6,8,30,6.580371345,0,0,33000000,36245482.818453416
298,13104-644,12,4,20,6.580371345,0,0,23000000,27773580.809183475
299,13104-645,12,5,20,6.580371345,0,0,19000000,27100436.92544768
300,13104-650,41,9,35,6.580371345,1,0,18000000,24023435.38075255
301,13104-651,41,4,25,6.580371345,0,0,15000000,16243918.883665565
302,13104-652,18,8,95,6.580371345,0,0,95000000,81542495.11899972
303,13104-653,11,7,20,6.580371345,1,0,21000000,29478135.80713428
304,13104-654,47,7,25,6.580371345,0,0,8000000,11016005.851653587
305,13104-655,41,8,45,6.580371345,0,0,30000000,29463335.675539453
306,13104-656,42,9,40,6.580371345,1,0,23000000,27466686.565656055
307,13104-657,6,8,25,6.580371345,0,0,29000000,32267484.73674915
308,13104-658,18,3,20,6.580371345,0,0,20000000,25238243.312114682
309,13104-659,7,3,50,6.580371345,0,0,43000000,54988447.6671487
310,13104-660,18,8,70,6.580371345,0,0,50000000,61652504.71047839
311,13104-661,7,3,55,6.580371345,0,0,55000000,58966445.748852976
312,13104-664,41,9,45,6.580371345,0,0,21000000,28790191.791803658
313,13104-665,22,4,15,6.580371345,1,0,15000000,21637353.511828985
314,13104-666,22,4,15,6.580371345,0,0,20000000,18448113.759471558
315,13104-667,15,7,20,6.580371345,0,0,21000000,24149908.467573795
316,13104-668,33,10,20,6.580371345,0,0,23000000,12505032.673952641
317,13104-669,12,5,20,6.580371345,0,0,22000000,27100436.92544768
318,13104-670,11,3,145,6.580371345,0,0,110000000,128431423.63232675
319,13104-671,11,4,125,6.580371345,0,0,110000000,111846287.42177388
320,13104-672,18,3,20,6.580371345,0,0,22000000,25238243.312114682
321,13104-673,13,5,20,6.580371345,0,0,24000000,26565690.028646916
322,13104-674,18,8,75,6.580371345,1,0,78000000,68819742.54454008
323,13104-675,12,5,20,6.580371345,0,0,27000000,27100436.92544768
324,13104-676,15,5,65,6.580371345,0,0,52000000,61298178.9703838
325,13104-678,18,8,80,6.580371345,0,0,73000000,69608500.87388691
326,13104-679,11,7,20,6.580371345,0,0,18000000,26288896.054776855
327,13104-680,12,7,20,6.580371345,0,0,13000000,25754149.157976087
328,13104-686,13,5,20,6.580371345,0,0,24000000,26565690.028646916
329,13104-687,18,8,75,6.580371345,1,0,55000000,68819742.54454008
330,13104-688,7,7,25,6.580371345,0,0,25000000,32405881.72368418
331,13104-689,13,5,20,6.580371345,0,0,24000000,26565690.028646916
332,13104-690,18,8,55,6.580371345,0,0,40000000,49718510.46536558
333,13104-691,18,9,20,6.580371345,1,0,17000000,24388619.762057334
334,13104-692,13,5,20,6.580371345,0,0,24000000,26565690.028646916
335,13104-693,47,7,30,6.580371345,1,0,16000000,18183243.68571528
336,13104-694,42,9,30,6.580371345,0,0,15000000,16321450.64989009
337,13104-695,21,7,15,6.580371345,0,0,13000000,16963429.005064934
338,13104-696,18,8,70,6.580371345,0,0,39000000,61652504.71047839
339,13104-697,41,4,50,6.580371345,1,0,34000000,39323149.04454433
340,13104-698,18,9,15,6.580371345,1,0,17000000,20410621.680353068
341,13104-702,18,9,15,6.580371345,0,0,15000000,17221381.927995637
342,13104-703,10,5,45,6.580371345,0,0,38000000,48059921.127570555
343,13104-704,41,4,55,6.580371345,1,0,30000000,43301147.1262486
344,13104-705,18,8,75,6.580371345,0,0,52000000,65630502.792182654
345,13104-706,33,9,20,6.580371345,0,0,12000000,13178176.557688436
346,13104-707,12,6,20,6.580371345,0,0,20000000,26427293.041711885
347,13104-708,11,3,145,6.580371345,0,0,120000000,128431423.63232675
348,13104-709,13,5,20,6.580371345,0,0,23000000,26565690.028646916
349,13104-711,13,6,80,9.492733962,0,1,60000000,72150812.3766689
350,13104-712,4,6,60,9.492733962,0,1,75000000,61051542.1210587
351,13104-713,13,6,30,9.492733962,0,1,33000000,32370831.559626214
352,13104-715,32,10,15,9.492733962,0,1,11000000,7584070.7403556965
353,13104-716,13,6,55,9.492733962,0,1,51000000,52260821.96814755
354,13104-717,13,6,55,9.492733962,1,1,51000000,55450061.720504984
355,13104-719,13,6,55,9.492733962,0,1,48000000,52260821.96814755
356,13104-720,25,10,15,9.492733962,0,1,14000000,11327299.017961051
357,13104-721,13,6,60,9.492733962,1,1,50000000,59428059.80220925
358,13104-725,15,6,75,9.492733962,0,1,76000000,67103320.5013631
359,13104-771,17,8,25,7.768447716,1,0,23000000,28747504.181431238
360,13104-772,13,8,20,7.768447716,0,0,21000000,23719253.934572604
361,13104-773,15,8,25,7.768447716,0,0,27000000,26627758.222675342
362,13104-774,17,8,20,7.768447716,1,0,19000000,24769506.09972697
363,13104-775,10,9,15,7.768447716,0,0,24000000,20672352.659534834
364,13104-776,10,9,20,7.768447716,0,0,24000000,24650350.7412391
365,13104-777,15,6,45,7.768447716,0,0,24000000,43886038.316964
366,13104-778,2,9,25,7.768447716,0,0,31000000,32906323.99734949
367,13104-779,15,7,20,7.768447716,0,0,23000000,23322904.02470687
368,13104-780,2,9,20,7.768447716,0,0,31000000,28928325.91564522
369,13104-783,11,5,55,7.768447716,0,0,50000000,54654165.951311395
370,13104-784,47,10,55,7.768447716,0,0,39000000,32037558.247804884
371,13104-785,2,9,35,7.768447716,0,0,44000000,40862320.160758026
372,13104-786,2,8,25,7.768447716,0,0,33000000,33579467.881085284
373,13104-787,2,9,20,7.768447716,0,0,33000000,28928325.91564522
374,13104-788,2,9,40,7.768447716,0,0,43000000,44840318.24246229
375,13104-789,47,10,50,7.768447716,1,0,43000000,31248799.918458045
376,13104-791,22,7,15,7.768447716,0,0,19000000,15601677.665397247
377,13104-792,1,7,25,7.768447716,0,0,34000000,34787358.661621846
378,13104-793,1,6,25,7.768447716,0,0,34000000,35460502.545357645
379,13104-794,1,6,25,7.768447716,0,0,35000000,35460502.545357645
380,13104-797,2,9,25,7.768447716,0,0,34000000,32906323.99734949
381,13104-798,13,8,20,7.768447716,0,0,20000000,23719253.934572604
382,13104-799,13,8,20,7.768447716,0,0,22000000,23719253.934572604
383,13104-801,2,9,20,7.768447716,0,0,31000000,28928325.91564522
384,13104-802,2,9,20,7.768447716,0,0,31000000,28928325.91564522
385,13104-803,47,10,55,7.768447716,0,0,32000000,32037558.247804884
386,13104-807,17,7,20,7.768447716,0,0,19000000,22253410.23110534
387,13104-808,23,10,45,7.768447716,0,0,36000000,36915487.6076147
388,13104-809,22,5,15,7.768447716,0,0,18000000,16947965.43286884
389,13104-810,48,6,45,7.768447716,1,0,37000000,29428630.474896193
